Company;ISIN;Market;Compartment;Country of Incorporation;Date of eligibility declaration by the Issuer;Updated_Status
GAUMONT;FR0000034894;EURONEXT;B;France;09/04/2018;
GECI INTL;FR0000079634;EURONEXT;C;France;14/07/2016;
GENERIX;FR0010501692;EURONEXT;C;France;24/06/2019;
GENFIT;FR0004163111;EURONEXT;B;France;30/03/2015;
GENKYOTEX;FR0013399474;EURONEXT;C;France;24/03/2015;
GENOMIC VISION;FR0011799907;EURONEXT;C;France;08/10/2019;
GENOWAY;FR0004053510;Euronext GROWTH*;;France;23/03/2018;
GenSight Biologics;FR0013183985;EURONEXT;C;France;13/07/2016;
GERARD PERRIER;FR0000061459;EURONEXT;B;France;27/03/2015;
GET LINK SE ( ex EUROTUNNEL);FR0010533075;EURONEXT;A;France;26/07/2018;
GL EVENTS;FR0000066672;EURONEXT;B;France;13/06/2019;
GLOBAL BIOENERGIES;FR0011052257;Euronext GROWTH*;;France;09/04/2015;
GLOBAL ECOPOWER;FR0011289198;Euronext GROWTH*;;France;31/03/2015;
GOUR MEDICAL;FR0013371507;Euronext Access**;;France;05/01/2019;
GRAINES VOLTZ;FR0000065971;EURONEXT;C;France;20/03/2015;
GROUPE ARTEA;FR0012185536;EURONEXT;C;France;06/07/2016;
GROUPE GORGE;FR0000062671;EURONEXT;C;France;09/01/2017;
GROUPE GUILLIN;FR0012819381;Euronext GROWTH*;;France;30/05/2018;
GROUPE OPEN;FR0004050300;EURONEXT;B;France;22/07/2015;
GROUPE PAROT (AUTO);FR0013204070;Euronext GROWTH*;;France;24/10/2016;
GROUPE PARTOUCHE;FR0012612646;EURONEXT;B;France;11/03/2015;
GROUPE SFPI;FR0004155000;EURONEXT;B;France;15/12/2015;
GROUPE TERA;FR0013429404;Euronext GROWTH*;;France;18/11/2019;
GUERBET;FR0000032526;EURONEXT;B;France;19/04/2016;
HARVEST;FR0010207795;Euronext GROWTH*;;France;28/06/2018;
HAULOTTE GROUP;FR0000066755;EURONEXT;B;France;17/03/2015;
HERIGE;FR0000066540;Euronext GROWTH*;;France;24/07/2018;
HEXAOM (ex MAISONS FRANCE CONFORT);FR0004159473;EURONEXT;B;France;30/03/2018;
HF COMPANY;FR0000038531;EURONEXT;C;France;03/04/2015;
HIGH CO;FR0000054231;EURONEXT;C;France;21/01/2020;
HIPAY;FR0012821916;EURONEXT;C;France;22/09/2016;
HOFFMANN GREEN CEMENT TECHNOLOGIES;FR0013451044;Euronext GROWTH*;;France;21/10/2019;
HOPSCOTCH GROUPE;FR0000065278;EURONEXT;C;France;24/09/2015;
HORIZONTAL SOFTWARE SA;FR0013219367;Euronext GROWTH*;;France;14/12/2016;
HYBRIGENICS;FR0004153930;Euronext GROWTH*;;France;11/04/2018;
ICERAM;FR0011511971;Euronext GROWTH*;;France;15/01/2019;
IDI;FR0000051393;EURONEXT;B;France;05/03/2018;
IGE+XAO;FR0000030827;EURONEXT;B;France;FIN ELIGIBILITE;
IMMERSION;FR0013060100;Euronext GROWTH*;;France;29/10/2018;
IMPLANET;FR0013470168;Euronext GROWTH*;;France;26/11/2019;
INFOTEL;FR0000071797;EURONEXT;B;France;10/05/2019;
INNATE PHARMA;FR0010331421;EURONEXT;B;France;23/03/2015;
INNOVEOX;FR0011066885;Euronext GROWTH*;;France;24/03/2015;Radiation - Delisted 17/01/2018
INTEGRAGEN;FR0010908723;Euronext GROWTH*;;France;27/03/2015;
INTERPARFUMS;FR0004024222;EURONEXT;A;France;01/08/2018;
INTRASENSE;FR0011179886;Euronext GROWTH*;;France;15/04/2016;
INVENTIVA;FR0013233012;EURONEXT;C;France;15/02/2017;
INVIBES;BE0974299316;Euronext GROWTH*;;France;09/05/2017;
IPSEN;FR0010259150;EURONEXT;A;France;FIN ELIGIBILITE 01/01/2018;
IT LINK;FR0000072597;EURONEXT;C;France;25/06/2019;
ITESOFT;FR0004026151;EURONEXT;C;France;15/05/2019;
ITS GROUP;FR0000073843;EURONEXT;C;France;02/04/2015;Radiation - Delisted  20/01/2020
JACQUES BOGART;FR0012872141;EURONEXT;C;France;09/05/2017;
JACQUET METAL SCE;FR0000033904;EURONEXT;B;France;16/04/2015;
KALRAY;FR0010722819;Euronext GROWTH*;;France;12/06/2018;
KAUFMAN ET BROAD;FR0004007813 ;EURONEXT;B;France;20/02/2017;
KERLINK;FR0013156007;Euronext GROWTH*;;France;23/05/2018;
KEYRUS;FR0004029411;EURONEXT;C;France;23/09/2016;
KEYYO;FR0000185621;Euronext GROWTH*;;France;22/11/2017;Radiation - Delisted 07/05/2019
KINDY;FR0000052904;EURONEXT;C;France;04/07/2016;Radiation - Delisted 04/09/2017
KKO INTERNATIONAL;FR0013374667;Euronext GROWTH*;;Belgium;21/03/2018;
LA FONCIERE VERTE;FR0000039638;EURONEXT;C;France;06/06/2017;
LACROIX;FR0000066607;EURONEXT;C;France;10/04/2015;
LANSON-BCC;FR0004027068;Euronext GROWTH*;B;France;29/07/2019;
LATECOERE;FR0000032278;EURONEXT;B;France;17/06/2015;
LAURENT-PERRIER;FR0006864484;EURONEXT;B;France;23/03/2015;
LDLC.COM;FR0000075442;Euronext GROWTH*;;France;23/03/2018;
LE BELIER;FR0000072399;EURONEXT;B;France;05/07/2017;
LE TANNEUR & CIE;FR0000075673;Euronext GROWTH*;;France;01/04/2015;
LECTRA;FR0000065484;EURONEXT;B;France;08/01/2019;
LES HOTELS BAVEREZ;FR0007080254;Euronext GROWTH*;;France;29/07/2019;
LINEDATA SERVICES;FR0004156297;EURONEXT;B;France;20/03/2019;
LLEIDA;ES0105089009 ;Euronext GROWTH*;;Spain;05/09/2019;
LNA SANTE (ex LE NOBLE AGE);FR0004170017;EURONEXT;B;France;05/02/2015;
LUCIBEL;FR0011884378;Euronext GROWTH*;;France;15/05/2017;
LUMIBIRD (ex QUANTEL);FR0000038242;EURONEXT;B;France;07/01/2020;
LYSOGENE SA;FR0013233475;EURONEXT;C;France;26/11/2019;
M2I;FR0013270626 ;Euronext GROWTH*;;France;18/09/2017;
MADE;FR0010328302;Euronext Access**;;France;01/06/2015;
MADVERTISE ( ex -MOBILE NETWORK GROUP);FR0010812230;Euronext GROWTH*;;France;10/04/2017;
MAINSTAY MEDICAL ;IE00BJYS1G50;EURONEXT;C;France;23/01/2018;
MAKHEIA;FR0000072993;Euronext GROWTH*;;France;16/01/2019;
MANITOU;FR0000038606;EURONEXT;A;France;FIN ELIGIBILIT2 12/06/2019;
MANUTAN INTL;FR0000032302;EURONEXT;B;France;04/04/2016;
MARE NOSTRUM;FR0013400835;Euronext GROWTH*;;France;04/12/2019;
Marie Brizard Wine & Spirits (MBWS);FR0000060873;EURONEXT;C;France;03/09/2015;
MASTRAD;FR0004155687;Euronext GROWTH*;;France;26/03/2015;
MAUNA KEA TECH;FR0010609263;EURONEXT;C;France;18/03/2015;
MAUREL & PROM;FR0000051070;EURONEXT;B;France;FIN ELIGIBILITE 21/03/2019;
MCPHY ENERGY;FR0011742329;EURONEXT;C;France;16/09/2019;
MECELEC COMPOSITES;FR0000061244;Euronext GROWTH*;;France;07/05/2015;
MEDIAN TECHNOLOGIES;FR0011049824;Euronext GROWTH*;;France;20/03/2018;
MEDIAWAN;FR0013247137;EURONEXT;B;France;16/11/2018;
MEDICREA;FR0004178572;Euronext GROWTH*;;France;18/03/2015;
MEDINCELL;FR0004065605;EURONEXT;C;France;18/11/2019;
MEMSCAP;FR0010298620;EURONEXT;C;France;27/02/2018;
METABOLIC EXPLORER;FR0004177046;EURONEXT;C;France;11/06/2019;
METHANOR;FR0011217710;Euronext GROWTH*;;France;12/01/2017;
METHORIOS CAPITAL;IT0004615396;Euronext GROWTH*;;Italy;16/03/2015;
MGI DIGITAL GRAPHIC;FR0010353888;Euronext GROWTH*;;France;27/03/2015;
MICROPOLE;FR0000077570;EURONEXT;C;France;01/09/2015;
MICROWAVE VISION;FR0004058949;Euronext GROWTH*;;France;07/04/2017;
MIGUET ET ASSOCIES ;FR0010500363;Euronext Access**;;France;17/09/2019;
MILIBOO;FR0013053535;Euronext GROWTH*;;France;18/01/2017;
MINT (ex BUDGET TELECOM);FR0004172450;Euronext GROWTH*;;France;05/04/2016;
MND GROUP;FR0011584549;Euronext GROWTH*;;France;05/04/2017;
MOULINVEST;FR0011033083;Euronext GROWTH*;;France;19/04/2016;
MR BRICOLAGE;FR0004034320;EURONEXT;C;France;22/06/2016;
MUNIC;FR0013462231;Euronext GROWTH*;;France;10/02/2020;
NACON;FR0013482791;EURONEXT ;B;France;04/03/2020;
NANOBIOTIX;FR0011341205;EURONEXT;B;France;25/07/2019;
NATURE ET LOGIS;FR0013344223;Euronext Access**;;France;04/04/2019;
NATUREX;FR0000054694;EURONEXT;B;France;31/03/2015;Radiation - Delisted 18/09/2018
NEOVACS;FR0004032746;Euronext GROWTH*;;France;30/06/2016;
NEURONES;FR0004050250;EURONEXT;B;France;FIN ELIGIBILITE 09/02/2017;
NEXTEDIA;FR0004171346;Euronext GROWTH*;;France;31/03/2015;
NICOX;FR0013018124;EURONEXT;B;France;03/09/2018;
NOVACYT;FR0010397232;Euronext GROWTH*;;France;16/03/2015;
NRJ GROUP;FR0000121691;EURONEXT;B;France;01/04/2019;
OBER;FR0010330613;Euronext GROWTH*;;France;31/07/2019;
OCEASOFT;FR0012407096;Euronext GROWTH*;;France;12/01/2016;
OCTO TECHNOLOGY;FR0004157428;Euronext GROWTH*;;France;08/07/2016;Radiation - Delisted 28/02/2017
OCTOPUS ROBOTS;FR0013310281;Euronext Access**;;France;15/03/2018;
ONCODESIGN;FR0011766229;Euronext GROWTH*;;France;11/04/2018;
ONE EXPERIENCE;FR0013266772;Euronext Access**;;France;21/07/2017;
ONXEO;FR0010095596;EURONEXT;C;France;08/10/2019;
ORAPI;FR0000075392;EURONEXT;C;France;27/04/2015;
ORCHESTRA PREMAMAN;FR0013190410;EURONEXT;C;France;13/09/2016;
ORDISSIMO;FR0013318052;Euronext GROWTH*;;France;10/07/2018;
OREGE;FR0010609206;EURONEXT;C;France;10/01/2020;
OSE IMMUNO;FR0012127173;EURONEXT;C;France;30/03/2015;
OSMOZIS;FR0013231180;Euronext GROWTH*;;France;08/02/2017;
OXATIS;FR0013328184;Euronext GROWTH*;;France;20/05/2019;
PARFEX;FR0000185928;Euronext Access**;;France;20/05/2015;
PARROT;FR0004038263;EURONEXT;C;France;10/01/2020;
PCAS;FR0000053514;EURONEXT;B;France;20/06/2015;
PHARMAGEST INTERACTIVE;FR0012882389;EURONEXT;B;France;16/03/2015;
PHARNEXT;FR0011191287;Euronext GROWTH*;;France;14/05/2019;
PIXIUM VISION;FR0011950641;Euronext GROWTH*;;France;18/02/2020;
PLANET MEDIA (ex-PLANET.FR);FR0010211037;Euronext GROWTH*;;France;20/03/2015;
PLANT ADVANCED T.;FR0010785790;Euronext GROWTH*;;France;27/04/2018;
PLAST.VAL LOIRE ;FR0013252186;EURONEXT;B;France;16/03/2015;
PAULIC MEUNERIE;FR0013479730;Euronext GROWTH*;;France;18/02/2020;
POUJOULAT;FR0000066441;Euronext GROWTH*;;France;14/05/2019;
POULAILLON;FR0013015583;Euronext GROWTH*;;France;02/12/2015;
POXEL;FR0012432516;EURONEXT;B;France;18/03/2015;
PRECIA;FR0000060832;EURONEXT;C;France;05/05/2015;
PREDILIFE;FR0010169920 ;Euronext GROWTH*;;France;21/12/2018;
PRISMAFLEX INTERNATIONAL;FR0004044600;Euronext GROWTH*;;France;23/03/2018;
PRODWARE;FR0010313486;Euronext GROWTH*;;France;23/03/2015;
PRODWAYS;FR0012613610;EURONEXT;B;France;12/05/2017;
PROLOGUE;FR0010380626;EURONEXT;C;France;21/06/2018;
PSB INDUSTRIES;FR0000060329;EURONEXT;C;France;10/04/2015;
QUANTUM GENOMICS;FR0011648971;Euronext GROWTH*;;France;11/04/2017;
QWAMPLIFY (ex CUSTOM SOLUTIONS);FR0010889386;Euronext GROWTH*;;France;10/04/2018;
REALITES;FR0011858190;Euronext GROWTH*;;France;24/03/2015;
REWORLD MEDIA;FR0010820274;Euronext GROWTH*;;France;27/03/2015;
RIBER;FR0000075954;EURONEXT;C;France;09/12/2019;
ROBERTET SA;FR0000039091;EURONEXT;A;France;15/09/2016;
ROCHE BOBOIS;FR0013344173;EURONEXT;B;France;09/07/2018;
ROCTOOL;FR0010523167;Euronext GROWTH*;;France;23/03/2016;
ROUGIER;FR0000037640;Euronext GROWTH*;;France;12/02/2015;
SAFE ORTHOPAEDICS;FR0012452746;Euronext GROWTH*;;France;23/01/2015;
SAINT JEAN GROUPE (EX. SABETON);FR0000060121;EURONEXT;C;France;15/02/2018;
SBT;FR0004175222;Euronext Access**;;France;28/03/2017;
SECHE ENVIRONNEMENT;FR0000039109;EURONEXT;B;France;28/07/2015;
SENSORION;FR0012596468;Euronext GROWTH*;;France;18/04/2018;
SERGEFERRARI GROUP;FR0011950682;EURONEXT;C;France;14/06/2019;
SES IMAGOTAG (ex Store Electronic Systems);FR0010282822;EURONEXT;B;France;30/03/2015;
SHOWROOMPRIVE;FR0013006558;EURONEXT;B;France;30/10/2015;
SIDETRADE;FR0010202606;Euronext GROWTH*;;France;17/03/2015;
SIGNAUX GIROD;FR0000060790;EURONEXT;C;France;11/04/2014;
SII;FR0000074122;EURONEXT;B;France;22/06/2015;
SOFT COMPUTING;FR0000075517;EURONEXT;C;France;29/03/2018;delisted as of the 02/04/2019
SOGECLAIR;FR0000065864;EURONEXT;C;France;15/04/2019;
SOITEC;FR0013227113;EURONEXT;A;France;01/04/2015;
SOLOCAL GOUP;FR0012938884;EURONEXT;B;France;07/04/2015;
SOLUTIONS 30 SE;FR0013379484;Euronext GROWTH*;;France;01/04/2015;
SPINEGUARD;FR0011464452;Euronext GROWTH*;;France;26/11/2019;
SPINEWAY;FR0011398874;Euronext GROWTH*;;France;27/03/2015;
SQLI;FR0011289040;EURONEXT;C;France;07/04/2017;
STEAM;FR0013063559;Euronext Access**;;France;03/11/2015;
STENTYS;FR0010949404;EURONEXT;C;France;24/05/2017;
STRADIM ESPACE FINANCES;FR0000074775;Euronext GROWTH*;;France;26/04/2019;
STREAMWIDE;FR0010528059;Euronext GROWTH*;;France;17/03/2015;
SUPERSONIC IMAGINE;FR0010526814;EURONEXT;C;France;27/11/2019;
SWORD GROUP;FR0004180578;EURONEXT;B;Luxemburg;17/11/2016;
TECHNOFIRST;FR0011651819;Euronext GROWTH*;;France;20/10/2015;delisted as of the 27/09/2019
TESSI;FR0004529147;EURONEXT;B;France;20/04/2015;
TFF GROUP;FR0013295789;EURONEXT;B;France;14/01/2015;
THE BLOCKCHAIN GP;FR0011053636;Euronext GROWTH*;;France;21/06/2016;
THERACLION;FR0010120402;Euronext GROWTH*;;France;13/06/2019;
THERADIAG;FR0004197747;Euronext GROWTH*;;France;27/11/2019;
THERANEXUS;FR0013286259;Euronext GROWTH*;;France;30/10/2017;
THERMADOR GROUPE;FR0013333432;EURONEXT;B;France;13/03/2019;
TIPIAK;FR0000066482;EURONEXT;C;France;13/04/2015;
TIVOLY;FR0000060949;EURONEXT;C;France;16/03/2015;
TOUAX;FR0000033003;EURONEXT;C;France;20/05/2019;
TOUPARGEL GROUPE;FR0000039240;EURONEXT;C;France;26/03/2015;Radiation - Delisted 12/02/2020
TRAQUEUR;FR0004043487;Euronext GROWTH*;;France;09/02/2017;Radiation - Delisted 28/01/2020
TRIGANO;FR0005691656;EURONEXT;A;France;23/03/2016;
